
20:41:51 04/07/2015:	 Open Database Name "dbarticlebtb"
20:42:28 04/07/2015:	 Open Database Name "dbarticlebtb"
20:43:03 04/07/2015:	 DELETE Record ID 15
20:55:34 04/07/2015:	 Open Database Name "dbarticlebtb"
20:55:48 04/07/2015:	 Open Database Name "dbarticlebtb"
20:57:20 04/07/2015:	 Open Database Name "dbarticlebtb"
20:58:01 04/07/2015:	 Open Database Name "dbarticlebtb"
20:58:34 04/07/2015:	 Open Database Name "dbarticlebtb"
20:59:46 04/07/2015:	 Open Database Name "dbarticlebtb"
21:02:10 04/07/2015:	 Open Database Name "dbarticlebtb"
21:07:36 04/07/2015:	 Open Database Name "dbarticlebtb"
21:09:21 04/07/2015:	 Open Database Name "dbarticlebtb"
21:11:16 04/07/2015:	 Open Database Name "dbarticlebtb"
21:11:27 04/07/2015:	 Open Database Name "dbarticlebtb"
21:12:21 04/07/2015:	 Open Database Name "dbarticlebtb"
21:18:26 04/07/2015:	 Open Database Name "dbarticlebtb"
21:36:01 04/07/2015:	 Open Database Name "dbarticlebtb"
21:36:31 04/07/2015:	 Open Database Name "dbarticlebtb"
21:37:11 04/07/2015:	 Open Database Name "dbarticlebtb"
21:37:56 04/07/2015:	 Open Database Name "dbarticlebtb"
21:38:25 04/07/2015:	 ADDNEW Record ID 23
01:24:49 05/07/2015:	 Open Database Name "dbarticlebtb"
01:25:07 05/07/2015:	 ADDNEW Record ID 1
01:53:25 05/07/2015:	 Open Database Name "dbarticlebtb"
01:55:36 05/07/2015:	 Open Database Name "dbarticlebtb"
01:56:17 05/07/2015:	 Open Database Name "dbarticlebtb"
02:02:24 05/07/2015:	 Open Database Name "dbarticlebtb"
02:03:27 05/07/2015:	 Open Database Name "dbarticlebtb"
02:04:11 05/07/2015:	 Open Database Name "dbarticlebtb"
05/07/2015 04:48:36:	 Open Database Name "dbarticlebtb"
05/07/2015 04:48:43:	 ADDNEW Record ID 1
05/07/2015 04:49:03:	 Open Database Name "dbarticlebtb"
05/07/2015 21:32:21:	 Open Database Name "dbarticlebtb"
05/07/2015 21:37:44:	 BackUp Database to "backup\05072015213744.sql"
05/07/2015 21:40:42:	 BackUp Database to "05072015214041.sql"
05/07/2015 21:40:50:	 Restore Database from "default.sql.sql"
05/07/2015 21:48:49:	 Restore Database from "default.sql"
05/07/2015 21:49:59:	 Create New Database "dbarticlebtb" from "C:\Documents and Settings\zz\Desktop\JavaArticleManagement-Database/Log/article.log"
05/07/2015 21:49:59:	 Restore Database from "default.sql"
05/07/2015 21:56:58:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:01:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:01:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:01:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:21:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:21:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:27:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:27:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:27:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:27:	 ADDNEW Record ID 1
05/07/2015 21:57:30:	 Open Database Name "dbarticlebtb"
05/07/2015 21:57:30:	 Open Database Name "dbarticlebtb"
05/07/2015 23:14:46:	 Create New Database "dbarticlebtb"
05/07/2015 23:14:51:	 Restore Database from "dbarticlebtb.sql"
05/07/2015 23:15:02:	 Open Database Name "dbarticlebtb"
05/07/2015 23:16:17:	 Open Database Name "dbarticlebtb"
05/07/2015 23:17:02:	 Open Database Name "dbarticlebtb"
05/07/2015 23:17:41:	 Open Database Name "dbarticlebtb"
05/07/2015 23:18:30:	 BackUp Database to "05072015231828.sql"
05/07/2015 23:19:18:	 Restore Database from "05072015231828.sql"
05/07/2015 23:23:27:	 Open Database Name "dbarticlebtb"
05/07/2015 23:27:02:	 Open Database Name "dbarticlebtb"
05/07/2015 23:27:35:	 Open Database Name "dbarticlebtb"
05/07/2015 23:27:51:	 Open Database Name "dbarticlebtb"
05/07/2015 23:30:00:	 Open Database Name "dbarticlebtb"
05/07/2015 23:30:02:	 BackUp Database to "05072015233002.sql"
05/07/2015 23:30:16:	 Restore Database from "05072015233002.sql"
05/07/2015 23:32:42:	 Open Database Name "dbarticlebtb"
05/07/2015 23:32:51:	 BackUp Database to "05072015233251.sql"
