20:41:07 04/07/2015:	java.lang.Exception in METHOD "Remove" CLASS "Controller"
20:41:54 04/07/2015:	java.lang.Exception in METHOD "Remove(id not found)" CLASS "Controller"
20:42:35 04/07/2015:	java.lang.Exception in METHOD "Remove(id 50not found)" CLASS "Controller"
20:42:55 04/07/2015:	java.lang.Exception in METHOD "Remove(id 10not found)" CLASS "Controller"
20:55:34 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:55:48 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:55:51 04/07/2015:	org.postgresql.util.PSQLException: ResultSet not positioned properly, perhaps you need to call next. in METHOD "StartDefault" CLASS "Controller"
20:57:21 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:58:01 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:58:30 04/07/2015:	org.postgresql.util.PSQLException: ResultSet not positioned properly, perhaps you need to call next. in METHOD "StartDefault" CLASS "Controller"
21:02:18 04/07/2015:	java.lang.NullPointerException in METHOD "s" CLASS "Controller"
21:11:11 04/07/2015:	org.postgresql.util.PSQLException: ResultSet not positioned properly, perhaps you need to call next. in METHOD "StartDefault" CLASS "Controller"
